driverId,surname,nationality
1,Hamilton,United Kingdom
2,Heidfeld,Germany
3,Rosberg,Germany
4,Alonso,Spain
5,Kovalainen,Finland
6,Nakajima,Japan
7,Bourdais,France
8,Räikkönen,Finland
9,Kubica,Poland
10,Glock,Germany
11,Sato,Japan
12,Piquet Jr.,Brazil
13,Massa,Brazil
14,Coulthard,United Kingdom
15,Trulli,Italy
16,Sutil,Germany
17,Webber,Australia
18,Button,United Kingdom
19,Davidson,United Kingdom
20,Vettel,Germany
21,Fisichella,Italy
22,Barrichello,Brazil
23,Schumacher,Germany
24,Liuzzi,Italy
25,Wurz,Austria
26,Speed,United States of America
27,Albers,The Netherlands
28,Winkelhock,Germany
29,Yamamoto,Japan
30,Schumacher,Germany
31,Pablo Montoya,Colombia
32,Klien,Austria
33,Monteiro,Portugal
34,Ide,Japan
35,Villeneuve,Canada
36,Montagny,France
37,de la Rosa,Spain
38,Doornbos,The Netherlands
39,Karthikeyan,India
40,Friesacher,Austria
41,Zonta,Brazil
42,Pizzonia,Brazil
43,da Matta,Brazil
44,Panis,France
45,Pantano,Italy
46,Bruni,Italy
47,Baumgartner,Hungary
48,Gené,Spain
49,Frentzen,Germany
50,Verstappen,The Netherlands
51,Wilson,United Kingdom
52,Firman,Ireland
53,Kiesa,Denmark
54,Burti,Brazil
55,Alesi,France
56,Irvine,United Kingdom
57,Häkkinen,Finland
58,Marques,Brazil
59,Bernoldi,Brazil
60,Mazzacane,Argentina
61,Enge,Czech Republic
62,Yoong,Malaysia
63,Salo,Finland
64,Diniz,Brazil
65,Herbert,United Kingdom
66,McNish,United Kingdom
67,Buemi,Switzerland
68,Takagi,Japan
69,Badoer,Italy
70,Zanardi,Italy
71,Hill,United Kingdom
72,Sarrazin,France
73,Rosset,Brazil
74,Tuero,Argentina
75,Nakano,Japan
76,Magnussen,Denmark
77,Berger,Austria
78,Larini,Italy
79,Katayama,Japan
80,Sospiri,Italy
81,Morbidelli,Italy
82,Fontana,Argentina
83,Lamy,Portugal
84,Brundle,United Kingdom
85,Montermini,Italy
86,Lavaggi,Italy
87,Blundell,United Kingdom
88,Suzuki,Japan
89,Inoue,Japan
90,Moreno,Brazil
91,Wendlinger,Austria
92,Gachot,Belgium
93,Schiattarella,Italy
94,Martini,Italy
95,Mansell,United Kingdom
96,Boullion,France
97,Papis,Italy
98,Délétraz,Switzerland
99,Tarquini,Italy
100,Comas,France
