raceId,driverId,stop,lap,time,milliseconds,duration
841,153,1,1,17:05:23,26898,00:00:27
841,30,1,1,17:05:52,25021,00:00:25
841,17,1,11,17:20:48,23426,00:00:23
841,4,1,12,17:22:34,23251,00:00:23
841,13,1,13,17:24:10,23842,00:00:24
841,22,1,13,17:24:29,23643,00:00:24
841,20,1,14,17:25:17,22603,00:00:23
841,814,1,14,17:26:03,24863,00:00:25
841,816,1,14,17:26:50,25259,00:00:25
841,67,1,15,17:27:34,25342,00:00:25
841,2,1,15,17:27:41,22994,00:00:23
841,1,1,16,17:28:24,23227,00:00:23
841,808,1,16,17:28:39,24535,00:00:25
841,3,1,16,17:29:00,23716,00:00:24
841,155,1,16,17:29:06,24064,00:00:24
841,16,1,16,17:29:08,25978,00:00:26
841,15,1,16,17:29:49,24899,00:00:25
841,18,1,17,17:30:24,16867,00:00:17
841,153,2,17,17:31:06,24463,00:00:24
841,5,1,17,17:31:11,24865,00:00:25
841,30,2,17,17:32:08,23988,00:00:24
841,10,1,18,17:33:02,23792,00:00:24
841,18,2,19,17:33:53,23303,00:00:23
841,815,1,23,17:40:27,23438,00:00:23
841,22,2,23,17:40:45,37856,00:00:38
841,17,2,26,17:44:29,22520,00:00:23
841,4,2,27,17:46:04,24733,00:00:25
841,22,3,28,17:49:07,16892,00:00:17
841,67,2,29,17:49:47,23100,00:00:23
841,2,2,30,17:51:32,25098,00:00:25
841,13,2,31,17:52:28,24500,00:00:25
841,155,2,32,17:54:21,24192,00:00:24
841,20,2,36,17:59:17,24036,00:00:24
841,1,2,36,17:59:29,23199,00:00:23
841,153,3,35,17:59:45,26348,00:00:26
841,808,2,36,17:59:47,25683,00:00:26
841,814,2,36,18:00:48,24332,00:00:24
841,18,3,37,18:01:49,22681,00:00:23
841,16,2,37,18:02:15,23871,00:00:24
841,15,2,37,18:03:55,24848,00:00:25
841,816,2,38,18:06:53,26446,00:00:26
841,17,3,41,18:07:37,26230,00:00:26
841,22,4,40,18:08:03,26309,00:00:26
841,4,3,42,18:09:08,24181,00:00:24
841,13,3,48,18:18:54,24095,00:00:24
842,16,1,3,16:09:07,31694,00:00:32
842,22,1,3,16:10:04,32978,00:00:33
842,17,1,10,16:21:21,22572,00:00:23
842,814,1,11,16:23:16,22773,00:00:23
842,1,1,12,16:24:40,22552,00:00:23
842,20,1,13,16:26:17,23019,00:00:23
842,2,1,13,16:26:28,23900,00:00:24
842,18,1,13,16:26:29,22400,00:00:22
842,13,1,13,16:26:30,29224,00:00:29
842,15,1,13,16:27:03,25516,00:00:26
842,4,1,14,16:28:15,23152,00:00:23
842,30,1,14,16:28:34,22576,00:00:23
842,808,1,15,16:30:10,23182,00:00:23
842,67,1,15,16:30:23,23280,00:00:23
842,3,1,15,16:30:37,24967,00:00:25
842,5,1,15,16:30:37,29084,00:00:29
842,153,1,16,16:32:25,23584,00:00:24
842,16,2,16,16:32:31,22046,00:00:22
842,155,1,17,16:33:53,23280,00:00:23
842,815,1,17,16:34:14,23597,00:00:24
842,10,1,17,16:34:28,24617,00:00:25
842,816,1,17,16:34:39,26252,00:00:26
842,24,1,17,16:34:56,27815,00:00:28
842,22,2,17,16:35:41,24502,00:00:25
842,67,2,20,16:39:30,29843,00:00:30
842,17,2,22,16:42:37,21991,00:00:22
842,18,2,23,16:44:11,22471,00:00:22
842,1,2,24,16:45:48,22611,00:00:23
842,814,2,24,16:46:20,22419,00:00:22
842,20,2,25,16:47:27,21893,00:00:22
842,4,2,26,16:49:19,23894,00:00:24
842,2,2,26,16:49:31,23221,00:00:23
842,13,2,27,16:51:17,22541,00:00:23
842,808,2,27,16:51:25,22680,00:00:23
842,30,2,28,16:53:26,22261,00:00:22
842,3,2,29,16:55:28,22577,00:00:23
842,17,3,32,17:00:01,22069,00:00:22
842,153,2,32,17:00:55,22888,00:00:23
842,16,3,32,17:00:56,22550,00:00:23
842,67,3,32,17:01:03,27439,00:00:27
842,5,2,34,17:04:41,23336,00:00:23
842,10,2,34,17:05:19,24429,00:00:24
842,816,2,35,17:07:20,24416,00:00:24
842,155,2,36,17:07:26,23442,00:00:23
842,1,3,37,17:08:28,25382,00:00:25
842,814,3,37,17:09:21,23977,00:00:24
842,18,3,38,17:10:13,22483,00:00:22
842,13,3,38,17:10:28,22893,00:00:23
842,2,3,39,17:12:09,22602,00:00:23
842,24,2,38,17:13:32,26554,00:00:27
842,3,3,40,17:15:05,22526,00:00:23
842,20,3,41,17:15:08,22313,00:00:22
842,4,3,41,17:15:25,23812,00:00:24
842,30,3,42,17:18:08,22227,00:00:22
842,17,4,43,17:19:10,22161,00:00:22
842,808,3,44,17:21:08,28694,00:00:29
842,4,4,46,17:24:24,27182,00:00:27
842,24,3,44,17:25:07,38823,00:00:39
842,1,4,52,17:34:48,22466,00:00:22
843,153,1,9,15:19:36,22419,00:00:22
843,24,1,9,15:20:00,14160,00:00:14
843,30,1,10,15:21:12,20522,00:00:21
843,17,1,10,15:21:27,23442,00:00:23
843,813,1,10,15:21:35,23160,00:00:23
843,814,1,11,15:22:57,21989,00:00:22
843,3,1,12,15:24:32,20771,00:00:21
843,67,1,12,15:24:56,22010,00:00:22
843,18,1,14,15:27:59,23779,00:00:24
843,20,1,14,15:28:00,21995,00:00:22
843,155,1,14,15:28:17,21855,00:00:22
843,13,1,15,15:29:47,21624,00:00:22
843,1,1,15,15:29:49,20878,00:00:21
843,16,1,15,15:30:01,20989,00:00:21
843,4,1,16,15:31:34,22524,00:00:23
843,815,1,16,15:31:55,21473,00:00:21
843,22,1,16,15:32:01,21709,00:00:22
843,67,2,16,15:32:19,24722,00:00:25
843,10,1,16,15:32:33,22683,00:00:23
843,808,1,17,15:33:36,21981,00:00:22
843,2,1,18,15:35:28,22216,00:00:22
843,5,1,19,15:37:31,22485,00:00:22
843,15,1,20,15:39:24,23029,00:00:23
843,816,1,20,15:39:50,22901,00:00:23
843,24,2,21,15:42:05,24467,00:00:24
843,39,1,23,15:45:28,26049,00:00:26
843,18,2,24,15:45:35,20758,00:00:21
843,3,2,25,15:47:13,22005,00:00:22
843,1,2,25,15:47:20,20533,00:00:21
843,17,2,25,15:47:44,21132,00:00:21
843,813,2,25,15:48:09,22062,00:00:22
843,30,2,26,15:49:15,21964,00:00:22
843,10,2,28,15:54:22,21908,00:00:22
843,16,2,30,15:56:26,21058,00:00:21
843,155,2,30,15:56:28,21936,00:00:22
843,2,2,30,15:56:29,21821,00:00:22
843,20,2,31,15:57:37,21533,00:00:22
843,4,2,32,15:59:39,21251,00:00:21
843,814,2,32,15:59:51,21218,00:00:21
843,13,2,33,16:01:04,21168,00:00:21
843,67,3,33,16:02:13,21928,00:00:22
843,816,2,34,16:05:10,22802,00:00:23
843,22,2,35,16:05:24,21481,00:00:21
843,815,2,36,16:06:55,23397,00:00:23
843,18,3,37,16:08:00,21237,00:00:21
843,808,2,37,16:08:34,22005,00:00:22
843,1,3,38,16:09:38,20567,00:00:21
843,3,3,39,16:11:19,20720,00:00:21
843,30,3,39,16:11:49,21400,00:00:21
843,17,3,40,16:13:29,21091,00:00:21
843,10,3,39,16:14:17,33827,00:00:34
843,5,2,40,16:14:27,21890,00:00:22
843,813,3,40,16:14:36,27620,00:00:28
843,15,2,42,16:18:14,22260,00:00:22
843,24,3,45,16:25:39,23499,00:00:23
843,16,3,47,16:26:24,28708,00:00:29
843,815,3,48,16:28:01,13900,00:00:14
843,815,4,50,16:31:39,28845,00:00:29
844,815,1,1,15:05:18,29270,00:00:29
844,30,1,2,15:06:35,30182,00:00:30
844,808,1,8,15:16:06,21422,00:00:21
844,13,1,9,15:17:37,22022,00:00:22
844,1,1,9,15:17:38,20833,00:00:21
844,67,1,9,15:17:47,21769,00:00:22
844,17,1,10,15:19:04,21050,00:00:21
844,4,1,10,15:19:05,21308,00:00:21
844,3,1,10,15:19:09,22573,00:00:23
844,2,1,10,15:19:16,22300,00:00:22
844,22,1,10,15:19:20,22717,00:00:23
844,16,1,10,15:19:22,21649,00:00:22
844,20,1,11,15:20:32,20623,00:00:21
844,814,1,11,15:21:00,20775,00:00:21
844,813,1,11,15:21:09,23881,00:00:24
844,18,1,13,15:23:57,21368,00:00:21
844,155,1,13,15:24:09,21820,00:00:22
844,153,1,13,15:24:25,22713,00:00:23
844,15,1,13,15:24:28,23066,00:00:23
844,30,2,14,15:26:02,20907,00:00:21
844,39,1,14,15:26:26,27353,00:00:27
844,5,1,15,15:27:42,22854,00:00:23
844,24,1,15,15:28:03,24634,00:00:25
844,815,2,16,15:29:30,22895,00:00:23
844,816,1,16,15:29:37,22779,00:00:23
844,24,2,16,15:30:57,56611,00:00:57
844,808,2,19,15:33:42,21323,00:00:21
844,1,2,20,15:35:09,21075,00:00:21
844,17,2,21,15:36:27,20421,00:00:20
844,3,2,22,15:38:24,20927,00:00:21
844,2,2,22,15:38:25,21919,00:00:22
844,4,2,23,15:39:35,21732,00:00:22
844,13,2,23,15:39:58,21322,00:00:21
844,67,2,23,15:40:07,22128,00:00:22
844,155,2,23,15:40:15,23455,00:00:23
844,22,2,24,15:41:43,22868,00:00:23
844,814,2,24,15:41:50,20930,00:00:21
844,20,2,25,15:42:31,20112,00:00:20
844,16,2,25,15:43:21,21084,00:00:21
844,813,2,25,15:43:41,22555,00:00:23
844,15,2,25,15:43:47,22862,00:00:23
844,18,2,26,15:44:37,22639,00:00:23
844,39,2,27,15:47:59,24962,00:00:25
844,153,2,29,15:49:46,21826,00:00:22
844,30,3,30,15:51:13,20379,00:00:20
844,5,2,31,15:53:27,21633,00:00:22
844,814,3,32,15:54:38,20887,00:00:21
844,815,3,32,15:54:42,22365,00:00:22
844,3,3,33,15:55:49,20949,00:00:21
844,1,3,34,15:57:04,35688,00:00:36
844,816,2,33,15:57:20,24837,00:00:25
844,808,3,34,15:57:21,21838,00:00:22
844,13,3,34,15:57:22,23471,00:00:23
844,17,3,35,15:58:20,20843,00:00:21
844,4,3,36,15:59:49,21702,00:00:22
844,2,3,36,16:00:31,20872,00:00:21
844,24,3,35,16:02:57,25125,00:00:25
844,155,3,38,16:03:58,22456,00:00:22
844,18,3,39,16:05:05,21417,00:00:21
844,153,3,39,16:05:31,21986,00:00:22
844,20,3,40,16:05:46,20385,00:00:20
844,15,3,39,16:06:10,22219,00:00:22
844,67,3,40,16:06:48,22032,00:00:22
844,22,3,40,16:07:01,21687,00:00:22
844,16,3,40,16:07:05,21006,00:00:21
844,24,4,37,16:07:22,43603,00:00:44
844,813,3,41,16:09:04,21827,00:00:22
844,815,4,42,16:10:21,21715,00:00:22
844,3,4,44,16:12:55,20308,00:00:20
844,814,4,44,16:13:28,21403,00:00:21
844,17,4,45,16:13:49,22087,00:00:22
844,808,4,45,16:14:37,21662,00:00:22
844,30,4,45,16:14:46,20597,00:00:21
844,4,4,46,16:15:17,21379,00:00:21
844,813,4,45,16:15:30,13925,00:00:14
844,1,4,46,16:15:51,22041,00:00:22
844,2,4,46,16:16:10,21884,00:00:22
844,13,4,46,16:16:13,26685,00:00:27
844,20,4,47,16:16:40,20489,00:00:20
844,39,3,45,16:17:26,24474,00:00:24
844,5,3,53,16:28:36,23114,00:00:23
