qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
1,18,1,1,22,1,00:01:27,00:01:25,00:01:27
2,18,9,2,4,2,00:01:26,00:01:25,00:01:27
3,18,5,1,23,3,00:01:26,00:01:25,00:01:27
4,18,13,6,2,4,00:01:26,00:01:26,00:01:27
5,18,2,2,3,5,00:01:26,00:01:26,00:01:27
6,18,15,7,11,6,00:01:26,00:01:26,00:01:29
7,18,3,3,7,7,00:01:26,00:01:26,00:01:29
8,18,14,9,9,8,00:01:26,00:01:26,00:01:29
9,18,10,7,12,9,00:01:27,00:01:26,00:01:30
10,18,20,5,15,10,00:01:27,00:01:26,\N
11,18,22,11,17,11,00:01:26,00:01:26,\N
12,18,4,4,5,12,00:01:27,00:01:26,\N
13,18,18,11,16,13,00:01:27,00:01:26,\N
14,18,6,3,8,14,00:01:27,00:01:26,\N
15,18,17,9,10,15,00:01:27,\N,\N
16,18,8,6,1,16,00:01:26,\N,\N
17,18,21,10,21,17,00:01:27,\N,\N
18,18,7,5,14,18,00:01:27,\N,\N
19,18,16,10,20,19,00:01:28,\N,\N
20,18,11,8,18,20,00:01:28,\N,\N
21,18,12,4,6,21,00:01:28,\N,\N
22,18,19,8,19,22,00:01:29,\N,\N
23,19,13,6,2,1,00:01:35,00:01:34,00:01:36
24,19,8,6,1,2,00:01:36,00:01:34,00:01:36
25,19,5,1,23,3,00:01:35,00:01:35,00:01:37
26,19,1,1,22,4,00:01:35,00:01:35,00:01:37
27,19,15,7,11,5,00:01:35,00:01:35,00:01:37
28,19,9,2,4,6,00:01:36,00:01:35,00:01:37
29,19,2,2,3,7,00:01:36,00:01:35,00:01:37
30,19,17,9,10,8,00:01:35,00:01:35,00:01:37
31,19,4,4,5,9,00:01:36,00:01:35,00:01:38
32,19,10,7,12,10,00:01:36,00:01:35,00:01:40
33,19,18,11,16,11,00:01:36,00:01:35,\N
34,19,14,9,9,12,00:01:36,00:01:35,\N
35,19,12,4,6,13,00:01:36,00:01:36,\N
36,19,22,11,17,14,00:01:36,00:01:36,\N
37,19,20,5,15,15,00:01:36,00:01:36,\N
38,19,3,3,7,16,00:01:36,00:01:36,\N
39,19,21,10,21,17,00:01:36,\N,\N
40,19,6,3,8,18,00:01:36,\N,\N
41,19,7,5,14,19,00:01:37,\N,\N
42,19,11,8,18,20,00:01:37,\N,\N
43,19,16,10,20,21,00:01:37,\N,\N
44,19,19,8,19,22,00:01:37,\N,\N
45,20,9,2,4,1,00:01:33,00:01:32,00:01:33
46,20,13,6,2,2,00:01:32,00:01:31,00:01:33
47,20,1,1,22,3,00:01:33,00:01:32,00:01:33
48,20,8,6,1,4,00:01:33,00:01:32,00:01:33
49,20,5,1,23,5,00:01:33,00:01:32,00:01:33
50,20,2,2,3,6,00:01:33,00:01:32,00:01:34
51,20,15,7,11,7,00:01:32,00:01:32,00:01:34
52,20,3,3,7,8,00:01:33,00:01:32,00:01:34
53,20,18,11,16,9,00:01:33,00:01:32,00:01:35
54,20,4,4,5,10,00:01:33,00:01:32,00:01:35
55,20,17,9,10,11,00:01:33,00:01:32,\N
56,20,22,11,17,12,00:01:33,00:01:33,\N
57,20,10,7,12,13,00:01:33,00:01:33,\N
58,20,12,4,6,14,00:01:33,00:01:33,\N
59,20,7,5,14,15,00:01:33,00:01:33,\N
60,20,6,3,8,16,00:01:33,00:01:33,\N
61,20,14,9,9,17,00:01:33,\N,\N
62,20,21,10,21,18,00:01:34,\N,\N
63,20,20,5,15,19,00:01:34,\N,\N
64,20,16,10,20,20,00:01:34,\N,\N
65,20,19,8,19,21,00:01:34,\N,\N
66,20,11,8,18,22,00:01:36,\N,\N
67,21,8,6,1,1,00:01:21,00:01:21,00:01:22
68,21,4,4,5,2,00:01:21,00:01:21,00:01:22
69,21,13,6,2,3,00:01:22,00:01:21,00:01:22
70,21,9,2,4,4,00:01:21,00:01:21,00:01:22
71,21,1,1,22,5,00:01:21,00:01:21,00:01:22
72,21,5,1,23,6,00:01:21,00:01:21,00:01:22
73,21,17,9,10,7,00:01:21,00:01:21,00:01:22
74,21,15,7,11,8,00:01:21,00:01:21,00:01:23
75,21,2,2,3,9,00:01:21,00:01:21,00:01:23
76,21,12,4,6,10,00:01:21,00:01:21,00:01:23
77,21,22,11,17,11,00:01:22,00:01:21,\N
78,21,6,3,8,12,00:01:22,00:01:21,\N
79,21,18,11,16,13,00:01:22,00:01:21,\N
80,21,10,7,12,14,00:01:21,00:01:21,\N
81,21,3,3,7,15,00:01:21,00:01:21,\N
82,21,7,5,14,16,00:01:22,00:01:22,\N
83,21,14,9,9,17,00:01:22,\N,\N
84,21,20,5,15,18,00:01:22,\N,\N
85,21,21,10,21,19,00:01:23,\N,\N
86,21,16,10,20,20,00:01:23,\N,\N
87,21,19,8,19,21,00:01:23,\N,\N
88,21,11,8,18,22,00:01:23,\N,\N
89,22,13,6,2,1,00:01:26,00:01:26,00:01:28
90,22,5,1,23,2,00:01:27,00:01:26,00:01:28
91,22,1,1,22,3,00:01:26,00:01:26,00:01:28
92,22,8,6,1,4,00:01:26,00:01:26,00:01:28
93,22,9,2,4,5,00:01:27,00:01:26,00:01:28
94,22,17,9,10,6,00:01:27,00:01:26,00:01:28
95,22,4,4,5,7,00:01:27,00:01:27,00:01:28
96,22,15,7,11,8,00:01:27,00:01:27,00:01:29
97,22,2,2,3,9,00:01:27,00:01:28,00:01:29
98,22,14,9,9,10,00:01:27,00:01:27,00:01:30
99,22,3,3,7,11,00:01:27,00:01:27,\N
100,22,22,11,17,12,00:01:27,00:01:27,\N
101,22,18,11,16,13,00:01:27,00:01:27,\N
102,22,20,5,15,14,00:01:27,00:01:27,\N
103,22,10,7,12,15,00:01:27,00:01:28,\N
104,22,6,3,8,16,00:01:28,\N,\N
105,22,12,4,6,17,00:01:28,\N,\N
106,22,7,5,14,18,00:01:28,\N,\N
107,22,21,10,21,19,00:01:28,\N,\N
108,22,16,10,20,20,00:01:28,\N,\N
109,23,13,6,2,1,00:01:15,00:01:15,00:01:16
110,23,8,6,1,2,00:01:16,00:01:15,00:01:16
111,23,1,1,22,3,00:01:16,00:01:15,00:01:16
112,23,5,1,23,4,00:01:15,00:01:15,00:01:16
113,23,9,2,4,5,00:01:16,00:01:15,00:01:16
114,23,3,3,7,6,00:01:16,00:01:15,00:01:17
115,23,4,4,5,7,00:01:17,00:01:16,00:01:17
116,23,15,7,11,8,00:01:16,00:01:16,00:01:17
117,23,17,9,10,9,00:01:16,00:01:16,00:01:17
118,23,14,9,9,10,00:01:16,00:01:16,\N
119,23,10,7,12,11,00:01:16,00:01:16,\N
120,23,18,11,16,12,00:01:16,00:01:16,\N
121,23,2,2,3,13,00:01:17,00:01:16,\N
122,23,6,3,8,14,00:01:17,00:01:16,\N
123,23,22,11,17,15,00:01:16,00:01:17,\N
124,23,7,5,14,16,00:01:17,\N,\N
125,23,12,4,6,17,00:01:17,\N,\N
126,23,20,5,15,18,00:01:17,\N,\N
127,23,16,10,20,19,00:01:17,\N,\N
128,23,21,10,21,20,00:01:18,\N,\N
129,24,1,1,22,1,00:01:17,00:01:17,00:01:18
130,24,9,2,4,2,00:01:17,00:01:18,00:01:18
131,24,8,6,1,3,00:01:17,00:01:17,00:01:19
132,24,4,4,5,4,00:01:17,00:01:17,00:01:19
133,24,3,3,7,5,00:01:18,00:01:18,00:01:19
134,24,13,6,2,6,00:01:17,00:01:17,00:01:19
135,24,5,1,23,7,00:01:17,00:01:18,00:01:19
136,24,2,2,3,8,00:01:18,00:01:18,00:01:20
137,24,22,11,17,9,00:01:18,00:01:18,00:01:21
138,24,17,9,10,10,00:01:18,00:01:18,\N
139,24,10,7,12,11,00:01:18,00:01:18,\N
140,24,6,3,8,12,00:01:18,00:01:18,\N
141,24,14,9,9,13,00:01:18,00:01:18,\N
142,24,15,7,11,14,00:01:18,00:01:18,\N
143,24,12,4,6,15,00:01:19,00:01:18,\N
144,24,7,5,14,16,00:01:19,\N,\N
145,24,16,10,20,17,00:01:19,\N,\N
146,24,21,10,21,18,00:01:19,\N,\N
147,24,18,11,16,19,00:01:24,\N,\N
148,24,20,5,15,20,\N,\N,\N
149,25,8,6,1,1,00:01:15,00:01:15,00:01:16
150,25,13,6,2,2,00:01:15,00:01:15,00:01:16
151,25,1,1,22,3,00:01:16,00:01:15,00:01:17
152,25,4,4,5,4,00:01:16,00:01:15,00:01:17
153,25,15,7,11,5,00:01:16,00:01:15,00:01:17
154,25,5,1,23,6,00:01:16,00:01:16,00:01:17
155,25,9,2,4,7,00:01:16,00:01:16,00:01:17
156,25,17,9,10,8,00:01:16,00:01:15,00:01:17
157,25,14,9,9,9,00:01:16,00:01:16,00:01:17
158,25,10,7,12,10,00:01:16,00:01:16,00:01:18
159,25,12,4,6,11,00:01:16,00:01:16,\N
160,25,2,2,3,12,00:01:16,00:01:16,\N
161,25,20,5,15,13,00:01:16,00:01:16,\N
162,25,7,5,14,14,00:01:16,00:01:16,\N
163,25,3,3,7,15,00:01:16,00:01:16,\N
164,25,6,3,8,16,00:01:16,\N,\N
165,25,18,11,16,17,00:01:16,\N,\N
166,25,22,11,17,18,00:01:16,\N,\N
167,25,21,10,21,19,00:01:17,\N,\N
168,25,16,10,20,20,00:01:17,\N,\N
169,26,5,1,23,1,00:01:20,00:01:20,00:01:21
170,26,17,9,10,2,00:01:21,00:01:20,00:01:22
171,26,8,6,1,3,00:01:20,00:01:20,00:01:22
172,26,1,1,22,4,00:01:20,00:01:20,00:01:22
173,26,2,2,3,5,00:01:21,00:01:20,00:01:22
174,26,4,4,5,6,00:01:21,00:01:20,00:01:22
175,26,12,4,6,7,00:01:21,00:01:20,00:01:22
176,26,20,5,15,8,00:01:20,00:01:20,00:01:23
177,26,13,6,2,9,00:01:21,00:01:20,00:01:23
178,26,9,2,4,10,00:01:20,00:01:20,\N
179,26,14,9,9,11,00:01:21,00:01:20,\N
180,26,10,7,12,12,00:01:21,00:01:20,\N
181,26,7,5,14,13,00:01:21,00:01:21,\N
182,26,15,7,11,14,00:01:21,00:01:21,\N
183,26,6,3,8,15,00:01:21,00:01:21,\N
184,26,22,11,17,16,00:01:22,\N,\N
185,26,18,11,16,17,00:01:22,\N,\N
186,26,3,3,7,18,00:01:22,\N,\N
187,26,16,10,20,19,00:01:22,\N,\N
188,26,21,10,21,20,00:01:22,\N,\N
189,27,1,1,22,1,00:01:15,00:01:15,00:01:16
190,27,13,6,2,2,00:01:15,00:01:15,00:01:16
191,27,5,1,23,3,00:01:15,00:01:15,00:01:16
192,27,15,7,11,4,00:01:16,00:01:15,00:01:16
193,27,4,4,5,5,00:01:16,00:01:15,00:01:16
194,27,8,6,1,6,00:01:15,00:01:15,00:01:16
195,27,9,2,4,7,00:01:16,00:01:15,00:01:17
196,27,17,9,10,8,00:01:16,00:01:15,00:01:17
197,27,20,5,15,9,00:01:16,00:01:15,00:01:17
