name,country,surname,lap_record,year
"Albert Park Grand Prix Circuit",Australia,Leclerc,80.260,2022
"Red Bull Ring",Austria,Sainz,65.619,2020
"Baku City Circuit",Azerbaijan,Leclerc,103.009,2019
"Bahrain International Circuit",Bahrain,Russell,55.404,2020
"Circuit de Spa-Francorchamps",Belgium,Räikkönen,105.108,2004
"Autodromo Jose Carlos Pace",Brazil,Bottas,70.540,2018
"Circuit Gilles Villeneuve",Canada,Bottas,73.078,2019
"Shanghai International Circuit",China,Schumacher,92.238,2004
"Circuit de Nevers Magny-Cours",France,Schumacher,75.377,2004
"Circuit Paul Ricard",France,Vettel,92.740,2019
Nurburgring,Germany,Verstappen,88.139,2020
Hockenheimring,Germany,Räikkönen,73.780,2004
Hungaroring,Hungary,Hamilton,76.627,2020
"Buddh International Circuit",India,Vettel,87.249,2011
"Autodromo Internazionale del Mugello",Italy,Hamilton,78.833,2020
"Autodromo Enzo e Dino Ferrari",Italy,Hamilton,75.484,2020
"Autodromo Nazionale di Monza",Italy,Barrichello,81.046,2004
"Suzuka Circuit",Japan,Hamilton,90.983,2019
"Fuji Speedway",Japan,Massa,78.426,2008
"Korean International Circuit",Korea,Vettel,99.605,2011
"Sepang International Circuit",Malaysia,Vettel,94.080,2017
"Autodromo Hermanos Rodriguez",Mexico,Bottas,77.774,2021
"Circuit de Monaco",Monaco,Hamilton,72.909,2021
"Circuit Park Zandvoort",Netherlands,Hamilton,71.097,2021
"Autodromo Internacional do Algarve",Portugal,Hamilton,78.750,2020
"Losail International Circuit",Qatar,Verstappen,83.196,2021
"Sochi Autodrom",Russia,Hamilton,95.761,2019
"Jeddah Corniche Circuit","Saudi Arabia",Hamilton,90.734,2021
"Marina Bay Street Circuit",Singapore,Magnussen,101.905,2018
"Circuit de Barcelona-Catalunya",Spain,Fisichella,75.641,2005
"Valencia Street Circuit",Spain,Glock,98.683,2009
"Istanbul Park",Turkey,"Pablo Montoya",84.770,2005
"Yas Marina Circuit",UAE,Verstappen,86.103,2021
"Silverstone Circuit",UK,Schumacher,78.739,2004
"Miami International Autodrome",USA,Verstappen,91.361,2022
"Indianapolis Motor Speedway",USA,Barrichello,70.399,2004
"Circuit of the Americas",USA,Leclerc,96.169,2019
