name,total_races
Ferrari,1054
McLaren,883
Williams,797
Tyrrell,433
Renault,403
Sauber,395
"Team Lotus",395
"Red Bull",348
Minardi,345
Ligier,330
Brabham,308
Arrows,296
Mercedes,271
"Toro Rosso",268
Benetton,260
Jordan,250
"Force India",212
BRM,208
March,196
"Alfa Romeo",194
Osella,171
"Haas F1 Team",144
Toyota,140
Ensign,133
Fittipaldi,119
Surtees,119
BAR,118
ATS,116
Larrousse,114
Shadow,98
Footwork,97
Honda,88
Lola,88
Jaguar,85
Prost,83
Dallara,80
AGS,78
"Lotus F1",77
Zakspeed,74
Maserati,73
"BMW Sauber",70
Toleman,70
Cooper-Climax,67
Coloni,65
Wolf,64
AlphaTauri,61
Hesketh,60
HRT,58
Caterham,56
Lotus-Climax,56
Marussia,55
Lotus-BRM,51
Theodore,51
"Aston Martin",50
Stewart,49
Matra,47
Cooper-Maserati,46
"Euro Brun",46
"Alpine F1 Team",44
Lotus-Ford,44
RAM,44
Penske,41
"Manor Marussia",39
McLaren-Ford,39
"Super Aguri",39
Lotus,38
"Racing Point",38
Virgin,38
Brabham-Climax,35
Porsche,34
Brabham-Repco,33
Cooper,33
Gordini,33
Pacific,33
"Leyton House",32
Rial,32
Merzario,31
"Iso Marlboro",30
"Brabham-Alfa Romeo",29
Fondmetal,29
Vanwall,29
Forti,27
Onyx,26
Spirit,25
Brabham-BRM,24
Brabham-Ford,23
Matra-Ford,23
Simtek,21
Connaught,18
Brawn,17
Eagle-Weslake,17
Spyker,17
HWM,16
Lambo,16
Parnelli,16
Simca,15
"De Tomaso",14
Life,14
McLaren-BRM,14
MF1,14
Shadow-Ford,14
BRP,13
Eagle-Climax,13
Talbot-Lago,13
Cooper-BRM,12
"Kurtis Kraft",12
"Embassy Hill",11
March-Ford,11
Kuzma,10
"McLaren-Alfa Romeo",10
Scirocco,10
Tecno,10
Emeryson,9
Lesovsky,9
Watson,9
"Andrea Moda",8
Boro,8
Maki,8
"March-Alfa Romeo",8
Martini,8
Trojan,8
ERA,7
Gilby,7
Phillips,7
Bellasi,6
JBW,6
Stevens,6
Veritas,6
Alta,5
Cooper-Castellotti,5
Epperly,5
LEC,5
OSCA,5
Scarab,5
AFM,4
Amon,4
"Aston Butterworth",4
Bromme,4
"Frazer Nash",4
Lancia,4
Schroeder,4
"Spyker MF1",4
Token,4
Trevis,4
"De Tomaso-Osca",3
Deidt,3
Dunn,3
LDS,3
"Lotus-Pratt &amp; Whitney",3
Moore,3
Pawl,3
Rebaque,3
Behra-Porsche,2
BMW,2
Christensen,2
Cooper-Borgward,2
Cooper-Ferrari,2
Cooper-Ford,2
"De Tomaso-Alfa Romeo",2
Ewing,2
Kauhsen,2
Kojima,2
LDS-Climax,2
Lotus-Borgward,2
Lotus-Maserati,2
Lyncar,2
Marchese,2
McLaren-Serenissima,2
Nichels,2
Pankratz,2
Shadow-Matra,2
Sherman,2
Adams,1
Apollon,1
Arzani-Volpini,1
BRM-Ford,1
Bugatti,1
Cisitalia,1
Connew,1
"Cooper-Alfa Romeo",1
Cooper-ATS,1
Cooper-OSCA,1
"De Tomaso-Ferrari",1
"Del Roy",1
Derrington,1
Elder,1
EMW,1
ENB,1
Ferguson,1
Fry,1
Hall,1
Klenk,1
Langley,1
"LDS-Alfa Romeo",1
MBM,1
McGuire,1
Meskowski,1
Milano,1
Olson,1
Politoys,1
Protos,1
Rae,1
RE,1
Shannon,1
Snowberger,1
Stebro,1
Sutton,1
Tec-Mec,1
Turner,1
Wetteroth,1
